pesudoID,questions的count
1,266
10,4352
101,1512
103,608
104,532
105,67
106,102
107,1424
11,144
12,368
13,1040
14,4235
15,6322
16,1505
17,1722
18,1118
19,234
2,208
20,1430
21,138
22,891
23,396
24,1564
25,252
26,1368
27,1200
28,9100
29,2508
3,330
31,1977
32,344
33,410
35,263
36,1917
4,198
40,159
41,28
42,1046
43,34
44,48
47,84
49,36
50,174
53,2296
57,9504
58,40
60,3654
66,327
67,1040
68,1385
69,803
72,608
73,720
75,2520
76,9912
77,372
78,608
79,3283
80,1512
81,128
82,23
83,248
87,3120
88,32
89,75
9,329
92,4638
94,175
96,24
97,108
98,2580
99,12
